P_alta,P_baja,x_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje
2000.0,157.88536139565775,0.35,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.6 K > dew=464.9 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.6499664015699 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,157.88536139565775,0.35,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=464.9 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.7999694738063 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,157.88536139565775,0.35,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"lado_frio(P_baja=157.9 kPa, T=290.8 K, estado fuera del dominio/cobertura del motor teqp — sin relacion con la campana de la sonda || T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: equilibrio no resoluble en T=290.75 K, P=1.5789e+05 Pa, x=0.0813"
2000.0,157.88536139565775,0.35,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"lado_frio(P_baja=157.9 kPa, estado fuera del dominio/cobertura del motor teqp — sin relacion con la campana de la sonda || T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=64714.1 fuera de dominio a P=1.5789e+05 Pa, x=0.3629"
2000.0,218.6892492858801,0.4,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.6 K > dew=461.4 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.6499762910928 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,218.6892492858801,0.4,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=461.4 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.7999784686067 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,218.6892492858801,0.4,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.9 K > dew=461.4 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.9499848878836 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,218.6892492858801,0.4,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"lado_frio(P_baja=218.7 kPa, estado fuera del dominio/cobertura del motor teqp — sin relacion con la campana de la sonda || T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=85697.9 fuera de dominio a P=2.1869e+05 Pa, x=0.4136"
2000.0,293.41308192387106,0.45,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.6 K > dew=457.7 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.6499856812749 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,293.41308192387106,0.45,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=457.7 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.7999870092624 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,293.41308192387106,0.45,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.9 K > dew=457.7 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.949990891472 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,293.41308192387106,0.45,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"lado_frio(P_baja=293.4 kPa, estado fuera del dominio/cobertura del motor teqp — sin relacion con la campana de la sonda || T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=117298 fuera de dominio a P=2.9341e+05 Pa, x=0.4639"
2000.0,380.4651667449188,0.5,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.6 K > dew=453.8 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.6499946097252 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,380.4651667449188,0.5,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=453.8 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.7999951299813 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,380.4651667449188,0.5,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.9 K > dew=453.8 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.9499965999129 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,380.4651667449188,0.5,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"lado_frio(P_baja=380.5 kPa, estado fuera del dominio/cobertura del motor teqp — sin relacion con la campana de la sonda || T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=171822 fuera de dominio a P=3.8047e+05 Pa, x=0.5140"
2000.0,476.2531387660478,0.55,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.7 K > dew=449.6 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.650003105099 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,476.2531387660478,0.55,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=449.6 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.8000028568282 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,476.2531387660478,0.55,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=583.0 K > dew=449.6 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.9500020315322 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,476.2531387660478,0.55,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"lado_frio(P_baja=476.3 kPa, estado fuera del dominio/cobertura del motor teqp — sin relacion con la campana de la sonda || T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=291866 fuera de dominio a P=4.7625e+05 Pa, x=0.5639"
2000.0,575.7018172219059,0.6,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.7 K > dew=445.1 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.6500111894273 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,575.7018172219059,0.6,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=445.1 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.8000102098437 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,575.7018172219059,0.6,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=583.0 K > dew=445.1 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.9500072004193 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,575.7018172219059,0.6,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"lado_frio(P_baja=575.7 kPa, estado fuera del dominio/cobertura del motor teqp — sin relacion con la campana de la sonda || T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=792226 fuera de dominio a P=5.757e+05 Pa, x=0.6134"
2000.0,673.3448664612341,0.65,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.7 K > dew=440.2 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.6500188798763 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,673.3448664612341,0.65,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=440.2 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.8000172046397 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,673.3448664612341,0.65,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=583.0 K > dew=440.2 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.9500121175461 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,673.3448664612341,0.65,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=486.7 K > dew=440.2 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=486.6708796343648 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,764.6376026707513,0.7,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.7 K > dew=434.7 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.6500261900685 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,764.6376026707513,0.7,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=434.7 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.800023853604 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,764.6376026707513,0.7,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=583.0 K > dew=434.7 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=582.9500167916119 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2000.0,764.6376026707513,0.7,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=489.9 K > dew=434.7 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2000.0 kPa, T=489.89860600810783 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,157.88536139565775,0.35,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.6 K > dew=475.2 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=582.6499385156937 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,157.88536139565775,0.35,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=475.2 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=582.7999441127074 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,157.88536139565775,0.35,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.9 K > dew=475.2 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=582.9499607392343 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,157.88536139565775,0.35,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=583.0 K > dew=475.2 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=583.0499779325528 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,218.6892492858801,0.4,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.6 K > dew=471.5 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=582.6499509656046 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,218.6892492858801,0.4,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=471.5 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=582.799955436095 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,218.6892492858801,0.4,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.9 K > dew=471.5 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=582.9499686987192 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,218.6892492858801,0.4,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"lado_frio(P_baja=218.7 kPa, estado fuera del dominio/cobertura del motor teqp — sin relacion con la campana de la sonda || T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=54033.1 fuera de dominio a P=2.1869e+05 Pa, x=0.4136"
2500.0,293.41308192387106,0.45,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.6 K > dew=467.7 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=582.6499627168082 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,293.41308192387106,0.45,0.85,0.75,0.65,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.8 K > dew=467.7 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=582.7999661239945 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,293.41308192387106,0.45,0.85,0.75,0.8,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.9 K > dew=467.7 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=582.9499762115182 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
2500.0,293.41308192387106,0.45,0.85,0.75,0.9,0.75,0.8,False,NO_CONVERGIO,,,"lado_frio(P_baja=293.4 kPa, estado fuera del dominio/cobertura del motor teqp — sin relacion con la campana de la sonda || T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=67254.3 fuera de dominio a P=2.9341e+05 Pa, x=0.4639"
2500.0,380.4651667449188,0.5,0.85,0.75,0.5,0.75,0.8,False,NO_CONVERGIO,,,"bracket_sonda: T2_sonda=582.6 K > dew=463.5 K (sobrecalentado: sonda T1 del arranque del bracket pega el estado 2 fuera de campana) || equilibrio_liquido_vapor(P=2500.0 kPa, T=582.6499738243671 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
