hora,T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje
11,623.15,297.95,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
10,623.15,298.0,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
9,623.15,298.2,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
8,623.15,298.3,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
7,623.15,298.5,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
12,623.15,298.65,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
6,623.15,298.7,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
5,623.15,298.9,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
4,623.15,298.95,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
3,623.15,299.1,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
