Estado,T [K],P [kPa],h [kJ/kg],s [kJ/kg·K],x (NH3) [-],m [kg/s],q [-],Fase
e1,361.4,3000.0,301.23,1.6543,0.4,1.0,0.0,liquido
e2,463.83,3000.0,1641.76,4.7851,0.4,1.0,0.5686,bifasico
e3,463.83,3000.0,2293.71,6.4994,0.5845,0.5686,1.0,vapor
e4,385.24,400.0,1993.46,6.6371,0.5845,0.5686,0.9013,bifasico
e5,463.83,3000.0,782.6,2.526,0.1568,0.4314,0.0,bifasico
e6,353.28,3000.0,272.56,1.2731,0.1568,0.4314,0.0,liquido
e7,353.73,400.0,272.56,1.2812,0.1568,0.4314,0.0,liquido
e8,381.39,400.0,1250.99,4.3346,0.4,1.0,0.494,bifasico
e9,313.69,400.0,77.07,0.9989,0.4,1.0,0.0,liquido
e10,314.14,3000.0,81.17,1.0021,0.4,1.0,0.0,liquido
