T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje
470.0,300.032917,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.98,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: equilibrio no resoluble en T=295.34 K, P=4e+05 Pa, x=0.1390"
470.0,300.032917,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.99,True,CORREGIBLE,0.12965863368774436,231.0851490898436,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=304.9856032136886, esperado=<= 304.537 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
470.0,300.032917,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.95,True,CORREGIBLE,0.13300455619498738,231.01406595825517,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=307.7086994636182, esperado=<= 304.537 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
470.0,300.032917,3000.0,450.0,0.5,1.0,0.85,0.75,0.85,0.75,0.95,True,CORREGIBLE,0.12623697746177678,219.264320453244,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=310.63248375052973, esperado=<= 308.147 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
470.0,300.032917,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,True,CORREGIBLE,0.13168618686411063,201.65133225092353,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=320.92027058819014, esperado=<= 304.537 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
470.0,300.032917,3000.0,450.0,0.5,1.0,0.85,0.75,0.85,0.75,0.99,True,KALINA,0.12275448464719106,218.77314975098244,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,450.0,0.5,1.0,0.85,0.75,0.85,0.75,0.98,True,CORREGIBLE,0.12368156787415702,219.05574329175698,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=308.5617200650265, esperado=<= 308.147 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
470.0,300.032917,3000.0,500.0,0.5,1.0,0.85,0.75,0.85,0.75,0.95,True,CORREGIBLE,0.12002003952792735,208.45503725530725,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=313.3140034638174, esperado=<= 311.467 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
470.0,300.032917,3000.0,500.0,0.5,1.0,0.85,0.75,0.85,0.75,0.98,True,KALINA,0.11739210524247147,207.90130937792833,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,500.0,0.5,1.0,0.85,0.75,0.85,0.75,0.99,True,KALINA,0.1165060833179377,207.63152982970547,"KALINA: régimen Kalina genuino y admisible, sin fallas."
