T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,T_sat_L,T9_amb,O2_margen,convergio,clasificacion,eta,Wnet,mensaje
470.0,300.032917,3000.0,400.0,0.35,1.0,0.85,0.75,0.85,0.75,0.95,330.34503492992707,315.1577662162574,15.187268713669653,True,KALINA,0.11826036254563535,133.96406875670993,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,400.0,0.35,1.0,0.85,0.75,0.85,0.75,0.9,330.34503492992707,327.210165360497,3.134869569430066,True,KALINA,0.12191085640515217,134.69406586201092,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,400.0,0.35,1.0,0.85,0.75,0.85,0.75,0.85,330.34503492992707,332.8570103643786,-2.5119754344515286,True,CORREGIBLE,0.12574425169111056,135.1814583644037,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=332.8570103643786, esperado=<= 330.345 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf"
470.0,300.032917,3000.0,400.0,0.35,1.0,0.85,0.75,0.85,0.75,0.8,330.34503492992707,336.49802011893405,-6.1529851890069835,True,CORREGIBLE,0.1282221767808095,133.63335914967385,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=336.49802011893405, esperado=<= 330.345 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben"
470.0,300.032917,3000.0,450.0,0.35,1.0,0.85,0.75,0.85,0.75,0.95,334.2456670670964,315.24029935900506,19.00536770809134,True,KALINA,0.11193362201918541,126.77837031811563,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,450.0,0.35,1.0,0.85,0.75,0.85,0.75,0.9,334.2456670670964,327.3782512341362,6.867415832960205,True,KALINA,0.11541391137684288,127.47330921844112,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,450.0,0.35,1.0,0.85,0.75,0.85,0.75,0.85,334.2456670670964,335.7931541752637,-1.5474871081672745,True,CORREGIBLE,0.11925812135219839,128.15413617586634,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=335.7931541752637, esperado=<= 334.246 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf"
470.0,300.032917,3000.0,450.0,0.35,1.0,0.85,0.75,0.85,0.75,0.8,334.2456670670964,339.4575494214605,-5.211882354364093,True,CORREGIBLE,0.1221154495433133,127.23243681084853,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=339.4575494214605, esperado=<= 334.246 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf"
470.0,300.032917,3000.0,500.0,0.35,1.0,0.85,0.75,0.85,0.75,0.95,,,,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: equilibrio no resoluble en T=296.92 K, P=5e+05 Pa, x=0.1626"
470.0,300.032917,3000.0,500.0,0.35,1.0,0.85,0.75,0.85,0.75,0.9,337.83115409899114,327.5303914346184,10.300762664372712,True,KALINA,0.10953245831372549,120.9409490820244,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,500.0,0.35,1.0,0.85,0.75,0.85,0.75,0.85,337.83115409899114,338.4794975816677,-0.6483434826765802,True,CORREGIBLE,0.11325060420307644,121.64213964917478,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=338.4794975816677, esperado=<= 337.831 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf"
470.0,300.032917,3000.0,500.0,0.35,1.0,0.85,0.75,0.85,0.75,0.8,337.83115409899114,342.16466772702665,-4.333513628035519,True,CORREGIBLE,0.11644565918628606,121.28305622613394,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=342.16466772702665, esperado=<= 337.831 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben"
470.0,300.032917,3000.0,550.0,0.35,1.0,0.85,0.75,0.85,0.75,0.8,341.15612289662005,344.6640082820077,-3.507885385387681,True,CORREGIBLE,0.11114246343162956,115.71455340604405,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=344.6640082820077, esperado=<= 341.156 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf"
470.0,300.032917,3000.0,550.0,0.35,1.0,0.85,0.75,0.85,0.75,0.85,341.15612289662005,340.49489455831446,0.661228338305591,True,KALINA,0.10752853264106792,115.60575527758084,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,550.0,0.35,1.0,0.85,0.75,0.85,0.75,0.95,341.15612289662005,315.3832956531581,25.77282724346196,True,KALINA,0.10097645032947719,114.3390979984423,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,550.0,0.35,1.0,0.85,0.75,0.85,0.75,0.9,341.15612289662005,327.6694804543422,13.486642442277855,True,KALINA,0.10415515452818934,114.97212233108722,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,600.0,0.35,1.0,0.85,0.75,0.85,0.75,0.95,,,,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: equilibrio no resoluble en T=295.56 K, P=6e+05 Pa, x=0.1692"
470.0,300.032917,3000.0,600.0,0.35,1.0,0.85,0.75,0.85,0.75,0.9,344.26169589607713,327.7976785915597,16.464017304517427,True,KALINA,0.09919884486950326,109.47362438994664,"KALINA: régimen Kalina genuino y admisible, sin fallas."
470.0,300.032917,3000.0,600.0,0.35,1.0,0.85,0.75,0.85,0.75,0.85,344.26169589607713,340.6814767181919,3.580219177885226,True,KALINA,0.10245814558419597,110.08500043619905,"KALINA: régimen Kalina genuino y admisible, sin fallas."
