Estado,T [K],P [kPa],h [kJ/kg],s [kJ/kg·K],x (NH3) [-],m [kg/s],q [-],Fase,motor
1,314.83,3300.0,348.918,1.772,0.82,1.0,—,—,TeqpAdapter
2,380.116,3300.0,1272.493,4.36722,0.82,1.0,—,—,TeqpAdapter
3,380.116,3300.0,1779.553,5.74485,0.98155,0.61472,1.0,vapor,TeqpAdapter
4,301.663,690.0,1580.68,5.81853,0.98155,0.61472,—,—,TeqpAdapter
5,380.116,3300.0,463.477,2.1692,0.56224,0.38528,0.0,liquido,TeqpAdapter
6,311.638,3300.0,127.676,1.19639,0.56224,0.38528,—,—,TeqpAdapter
7,312.049,690.0,127.676,1.20703,0.56224,0.38528,—,—,TeqpAdapter
8,310.837,690.0,1020.864,4.04357,0.82,1.0,—,—,TeqpAdapter
9,287.177,690.0,214.878,1.33918,0.82,1.0,—,—,TeqpAdapter
10,287.778,3300.0,219.54,1.34242,0.82,1.0,—,—,TeqpAdapter
