T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.9,0.8,0.85,0.75,0.8,True,CORREGIBLE,0.1606237831569334,134.1609979881868,"T8=302.89 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.41703759880755, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.9,0.8,0.85,0.9,0.98,True,CORREGIBLE,0.1569306058934439,143.82912852358993,"T8=297.04 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.4007449674867, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.9,0.8,0.85,0.95,0.98,True,CORREGIBLE,0.1585247059700473,144.09892253147316,"T8=296.59 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.3884946030625, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.9,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.16407908218275308,143.18574494993754,"T8=298.36 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.9787618521354, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.9,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.1626329881149569,142.9197455669791,"T8=298.81 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.03275433148127, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.95,0.8,0.85,0.9,0.98,True,CORREGIBLE,0.16593294863694777,152.09515708293156,"T8=296.56 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.38788115882016, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.95,0.8,0.85,0.95,0.98,True,CORREGIBLE,0.16761829307709708,152.37998929374191,"T8=296.12 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.3756088662593, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.95,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.17206887704429175,151.30097949646003,"T8=298.26 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.96632625653456, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.95,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.17359705627827066,151.5792877199099,"T8=297.82 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.9122498964323, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.98,0.8,0.85,0.9,0.98,True,CORREGIBLE,0.17133329276307507,157.05459466478177,"T8=296.29 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.380165956603, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
