T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,T_sat_L,T9_amb,O2_margen,pinch_K,convergio,clasificacion,eta,Wnet,mensaje
394.15,278.15,3300.0,530.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,284.77077086682704,284.96147054427274,-0.19069967744570704,3.6207708668270584,True,CORREGIBLE,0.15203699627055625,136.2184920796496,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=284.96147054427274, esperado=<= 284.771 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben"
394.15,278.15,3300.0,470.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,281.2984036263936,283.43046810459725,-2.132064478203631,0.14840362639364457,True,CORREGIBLE,0.1605957976138115,143.8945356789764,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=283.43046810459725, esperado=<= 281.298 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben"
394.15,278.15,3300.0,490.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,282.4917937545449,283.4031220837793,-0.9113283292343795,1.3417937545449377,True,CORREGIBLE,0.1576691590017141,141.27189995826978,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=283.4031220837793, esperado=<= 282.492 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf"
394.15,278.15,3300.0,510.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,283.6483947482522,283.88848298040705,-0.24008823215484654,2.498394748252224,True,CORREGIBLE,0.09064054695575444,81.06698906014343,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=283.88848298040705, esperado=<= 283.648 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben"
394.15,278.15,3300.0,550.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,285.86121711774945,286.02186958016375,-0.16065246241430486,4.71121711774947,True,CORREGIBLE,0.1493222886667793,133.78013095391952,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=286.02186958016375, esperado=<= 285.861 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben"
394.15,278.15,3300.0,570.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,286.9217970840343,287.0529774933304,-0.13118040929606423,5.771797084034347,True,CORREGIBLE,0.14667021319212378,131.39661527198766,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=287.0529774933304, esperado=<= 286.922 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf"
394.15,278.15,3300.0,590.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,287.9543734440056,288.05661720469556,-0.10224376068993024,6.804373444005648,True,CORREGIBLE,0.14409071230813286,129.0781256990506,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=288.05661720469556, esperado=<= 287.954 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben"
394.15,278.15,3300.0,610.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,,,,,False,NO_CONVERGIO,,,"evaluador O2 fuera de dominio: T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=-1.66484e+13 fuera de dominio a P=6.1e+05 Pa, x=0.8281"
394.15,278.15,3300.0,630.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,289.94211121125534,289.98795459926106,-0.04584338800572141,8.79211121125536,True,CORREGIBLE,0.139150587619247,124.63876888158805,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=289.98795459926106, esperado=<= 289.942 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben"
394.15,278.15,3300.0,670.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,291.836195130963,291.54098063501704,0.29521449594597016,10.686195130963029,True,KALINA,0.13447412922259924,120.43742368566527,"KALINA: régimen Kalina genuino y admisible, sin fallas."
