P_baja,eps_reg,T_fuente,T_sumidero,P_alta,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje,margen_O1,margen_O2,margen_S5,criterio_ligante,margen_ligante,spot_check,motor_confirmado,motor_real_clasificacion,motor_real_eta
600.0,0.75,394.15,278.15,3300.0,0.82,1.0,0.9,0.8,0.85,0.95,True,CORREGIBLE,0.1375268677292779,127.0486533415588,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=288.5582441542823, esperado=<= 288.461 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf",-0.9,-0.0975503313191552,14.037109514602207,O2,-0.0975503313191552,True,,,
600.0,0.79,394.15,278.15,3300.0,0.82,1.0,0.9,0.8,0.85,0.95,True,CORREGIBLE,0.1385616464053047,127.22778930229376,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=288.5563242266778, esperado=<= 288.461 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf",0.0413461172583566,-0.0956304037146651,13.957563022830756,O2,-0.0956304037146651,True,,,
600.0,0.83,394.15,278.15,3300.0,0.82,1.0,0.9,0.8,0.85,0.95,True,CORREGIBLE,0.1396090389586248,127.40692932325138,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=288.55440575126227, esperado=<= 288.461 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben",0.0413506609579745,-0.0937119282991147,13.877918977630031,O2,-0.0937119282991147,True,,,
600.0,0.87,394.15,278.15,3300.0,0.82,1.0,0.9,0.8,0.85,0.95,True,CORREGIBLE,0.1406692708116721,127.58607217674655,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=288.55248874851003, esperado=<= 288.461 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben",0.041354321292108,-0.0917949255468784,13.798178486643792,O2,-0.0917949255468784,True,,,
600.0,0.91,394.15,278.15,3300.0,0.82,1.0,0.9,0.8,0.85,0.95,True,CORREGIBLE,0.1417425725764142,127.76521646848136,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=288.5505732164464, esperado=<= 288.461 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf",0.0413571012352982,-0.0898793934832724,13.718342665234047,O2,-0.0898793934832724,True,,,
600.0,0.95,394.15,278.15,3300.0,0.82,1.0,0.9,0.8,0.85,0.95,True,CORREGIBLE,0.1428291804936609,127.94436089438436,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=288.54865914273495, esperado=<= 288.461 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben",0.041359003831084,-0.0879653197717971,13.638412636532394,O2,-0.0879653197717971,True,,,
640.0,0.75,394.15,278.15,3300.0,0.82,1.0,0.9,0.8,0.85,0.95,True,CORREGIBLE,0.1328372159576933,122.70186073022214,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=290.46557589347753, esperado=<= 290.424 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben",0.0432098385936232,-0.0415769668658185,14.035567393081976,O2,-0.0415769668658185,True,,,
640.0,0.79,394.15,278.15,3300.0,0.82,1.0,0.9,0.8,0.85,0.95,True,CORREGIBLE,0.1338365782908225,122.87493569525422,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=290.46366322560334, esperado=<= 290.424 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben",0.0432078886997695,-0.0396642989916244,13.956048100040448,O2,-0.0396642989916244,True,True,CORREGIBLE,0.1338131021252536
640.0,0.83,394.15,278.15,3300.0,0.82,1.0,0.9,0.8,0.85,0.95,True,CORREGIBLE,0.13484811476269,123.0480101713751,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=290.4617520002372, esperado=<= 290.424 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf",0.0432051106782446,-0.0377530736254811,13.87643134944318,O2,-0.0377530736254811,True,True,CORREGIBLE,0.13482465875757696
640.0,0.87,394.15,278.15,3300.0,0.82,1.0,0.9,0.8,0.85,0.95,True,CORREGIBLE,0.1358720427705665,123.2210828756836,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=290.4598421513382, esperado=<= 290.424 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf",0.043201508154861,-0.0358432247264772,13.79671824773601,O2,-0.0358432247264772,True,True,CORREGIBLE,0.13584860970752152
